ID,URL,Priority,Name,Description,Automation State,Domain,Created By,Variant1,Test Type,Variant2,DO NOT UPDATE - Legacy Requirements Set Name 1,DO NOT UPDATE - Legacy Requirements Set Name 2
31208,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_2180?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,OffSet_Synchronization,To verify the behaviour of Offset based Synchronization in a loop,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,PIM,,Stress
32810,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_5415?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,searchContactFromDialpad,To verify the searchContactFromDialpad  API filter the contacts based on search criteria,Automated,Bluetooth,"Kumar, Naveen",Domain_Service,Unassigned,PBAP,CCCONTELE-465,Functional
34050,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_7167?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,Connect_Disconnect,To verify connect HFP from HU followed by A2DP connection from Mobile,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Sanity,BSS,CTRS-PHONE-474,Functional
35157,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_8384?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,Rewind  + Resume,To verify that the HU can rewind the now playing title when rewind command is sent from HF 10 times,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Unassigned,Media_Gen4,,Stress
30824,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1826?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,DeRegisterEvents,To verify DeRegisterEvents Call in a loop,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,HFP,,Stress
34588,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_7788?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,Delete SMS,To verify delete SMS entry in data base(inbox),Automated,Bluetooth,"Kumar, Naveen",WiCoME,IOP,MAP,,Functional
32515,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_5114?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,network operator,To validate network operator while active call is ongoing,Automated,Bluetooth,"Kumar, Naveen",Domain_Service,Sanity,HFP,Unassigned,Functional
34251,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_7399?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,Call Status,To verify that the HU can initiate the SLC connection while an active and a waiting calls are available on Mobile and give the correct call status,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Sanity,HFP,,Functional
31064,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_2023?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,PBAP_Disconnect,To verify the behaviour of PBAP_Disconnect  with Invalid syntax,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,PBAP,,Negative_Invalid
30803,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1805?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,SetSIRIHFfeatures,To verify Set the HF features with vendor ID and other parameter with Incorrect call on HU,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,HFP,,Negative_Incorrect
30553,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1408?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,getNetworkAvailability API,"Validate the API that is used to check the availability of network 0= No Network, 1= Network available",Automated,Bluetooth,"Kumar, Naveen",Domain_Service,API,BT_Service,,Functional
30896,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_913?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,BSS_MAP_Disconnect,To verify the behaviour of MAP Disconnect when incorrect Call is given,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,MAP,,Negative_Incorrect
30582,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1437?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,dial API,Validate the API that is used to dial a number from HU,Automated,Bluetooth,"Kumar, Naveen",Domain_Service,API,BT_Service,,Functional
30590,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1445?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,holdActiveCall API,Validate the API that is used to hold an active call,Automated,Bluetooth,"Kumar, Naveen",Domain_Service,API,BT_Service,,Functional
34537,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_7736?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,Download of inbox SMS,To verify abort of inbox SMS download,Automated,Bluetooth,"Kumar, Naveen",WiCoME,IOP,MAP,,Functional
32470,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_5066?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,HFP_DTMF,"To verify Once call is activated send DTMF (0-9, A-D) from HU",Automated,Bluetooth,"Kumar, Naveen",Domain_Service,Sanity,HFP,MDR_ORI_BT_182,Functional
30427,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_511?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,BSS_GAP_DeviceAuthenticate,To verify the behaviour of BSS_GAP_DeviceAuthenticate call in loop of 5,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,BSS,,Stress
31137,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_2109?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,DeleteDevice,To verify the behaviour of DeleteDevice,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,PIM,,Functional
34041,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_7157?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,Pairing_Connection,To verify that the Mobile can initiate disconnection on HU,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Sanity,BSS,"CTRS-NAT-1886""",Functional
35020,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_8225?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,Mount_Point,To connect only A2DP and check for the mount point,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Unassigned,Media_Gen4,,Functional
30637,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1520?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,getCallStackCount API,Validate the API that is used to get total no of call stack count,Automated,Bluetooth,"Kumar, Naveen",Domain_Service,API,DB_Service,,Functional
35038,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_8243?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,Extended_Media_Control,To verify that the HU can pause the audio streaming when pause command is sent from HF,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Unassigned,Media_Gen4,CTRS-CONMEDIA-502,Functional
30685,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1626?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,DI Value Get,To verify the behaviour of BSS_DI_GetInfo call when source is QUERY and call is incorrect,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,DI,2307062,Negative_Incorrect
30878,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_895?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,BSS_MAP_Connect,To verify the behaviour of MAP Connect,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,MAP,,Functional
34046,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_7162?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,Pairing_Connection,To verify that the HU can initiate successful PAN connection to Mobile after PAN service is enabled on HU,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Unassigned,BSS,NA,Functional
32759,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_5364?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,ToggledFormattedName,To verify getAlphaJumpTable when setFormattedName is 'GN FN',Automated,Bluetooth,"Kumar, Naveen",Domain_Service,Unassigned,PBAP,CCCONTELE-457,Functional
34035,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_7148?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,Pairing_Connection,To verify pairing & connection should not be established when rejected from HU while connecting A2DP,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Sanity,BSS,NA,Negative
